Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
ORCL,2022-12-12,2023-01-30,76.63,84.74,7.5468,0.6444,32,6,4–8 wk,rank drift (score > 0),13.0,38.3847,False,False,2023-09-11,122.6,
BKR,2022-12-27,2023-01-30,27.1,28.56,3.3548,0.2079,22,4,4–8 wk,rank drift (score > 0),14.0,36.3285,False,True,2023-02-06,29.11,0.1251
HAL,2022-12-19,2023-01-30,33.27,37.04,6.9536,0.3621,27,5,4–8 wk,rank drift (score > 0),15.0,34.6941,False,False,2023-08-14,37.75,
VRT,2023-01-03,2023-01-30,13.81,14.04,-0.0426,-0.0017,18,4,4–8 wk,rank drift (score > 0),19.0,30.5291,False,True,2023-02-21,15.77,0.4952
SLB,2022-12-27,2023-02-06,48.68,48.19,-5.5276,-0.7794,27,5,4–8 wk,rank drift (score > 0),58.0,2.5568,True,True,2023-03-06,50.86,0.7469
AVGO,2022-12-12,2023-02-06,51.37,56.42,3.9337,0.6312,37,7,4–8 wk,sector cap displacement,11.0,42.7259,False,False,2023-03-13,57.73,
NOW,2023-01-30,2023-02-06,90.4,91.1,0.573,0.0539,5,1,1 wk,sector cap displacement,12.0,41.8687,False,True,2023-02-13,91.86,0.0944
CIFR,2023-02-06,2023-02-13,1.8,1.48,-17.9421,-0.6316,5,1,1 wk,rank drift (score > 0),16.0,32.2077,True,True,2023-02-21,1.9,0.8178
LRCX,2023-01-30,2023-02-13,46.03,49.11,5.5273,0.6112,10,2,2–3 wk,rank drift (score > 0),24.0,24.7035,False,False,2024-04-01,95.27,
NFLX,2023-01-23,2023-02-13,34.17,34.95,-1.4061,-0.1807,15,3,2–3 wk,rank drift (score > 0),18.0,29.8974,False,True,2023-02-21,34.29,-0.2029
SHOP,2023-01-30,2023-02-21,49.58,42.13,-15.9335,-1.323,15,3,2–3 wk,rank drift (score > 0),27.0,20.3703,True,True,2023-03-20,44.11,0.3368
NVDA,2023-01-23,2023-02-21,18.0,20.93,8.7192,0.854,20,4,4–8 wk,sector cap displacement,12.0,43.9099,False,True,2023-02-27,23.59,1.1411
BKR,2023-02-06,2023-02-21,29.11,28.19,-3.3539,-0.5027,10,2,2–3 wk,rank drift (score > 0),33.0,17.1249,True,False,2023-08-21,33.19,
NOW,2023-02-13,2023-02-21,91.86,86.36,-6.1752,-0.7076,5,1,1 wk,rank drift (score > 0),42.0,9.1704,True,False,2023-11-20,130.8,
SMCI,2023-02-13,2023-02-21,8.945,9.05,0.9717,0.0825,5,1,1 wk,sector cap displacement,7.0,48.2418,False,True,2023-02-27,9.886,0.841
MSTR,2023-02-21,2023-02-27,28.6,26.34,-8.0861,-0.6148,4,1,1 wk,sector cap displacement,17.0,28.8847,True,False,2023-04-10,28.98,
NFLX,2023-02-21,2023-02-27,34.29,32.39,-5.7297,-0.8194,4,1,1 wk,rank drift (score > 0),40.0,0.7609,True,False,2023-05-30,39.75,
CIFR,2023-02-21,2023-02-27,1.9,1.52,-20.1598,-0.7283,4,1,1 wk,sector cap displacement,12.0,37.662,True,True,2023-03-20,2.33,1.596
SOUN,2023-02-21,2023-02-27,4.075,3.63,-11.0982,-0.2983,4,1,1 wk,sector cap displacement,8.0,43.1283,True,False,2023-06-20,3.39,
APLD,2023-02-06,2023-02-27,3.24,2.66,-17.4223,-1.2827,14,3,2–3 wk,sector cap displacement,15.0,33.1283,True,False,2023-05-22,8.51,
UBER,2023-02-13,2023-03-06,34.5,34.585,0.5162,-0.0047,14,3,2–3 wk,rank drift (score > 0),20.0,34.445,False,False,2023-05-08,37.82,
NVTS,2023-02-27,2023-03-06,6.01,6.43,6.7746,0.4623,5,1,1 wk,sector cap displacement,12.0,47.717,False,True,2023-04-03,7.3,0.969
SOFI,2023-02-27,2023-03-06,6.45,6.8,5.2157,0.4698,5,1,1 wk,rank drift (score > 0),30.0,20.9611,False,False,2023-07-24,9.44,
