Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
"E9 rank entry, exit close < MA50",2025-09-24,2026-09-24,252,20.1975,20.1975,0.8428,1.2145,-13.9751,1.4452,91.3875,100.0,9.4326,18.3067,81,71,26.7606,-3.1862,Last 12m,14.6731,-9.7117,24.1644
"E10 rank entry, exit 3xATR trailing stop",2022-04-01,2026-09-24,1124,147.7654,22.5586,0.965,1.3777,-35.9657,0.6272,82.4194,100.0,11.1996,16.4338,350,340,36.7647,-0.3119,WF stitched,16.4561,-10.0608,24.1644
"E10 rank entry, exit 3xATR trailing stop",2022-04-01,2024-09-16,617,51.2916,18.4245,0.9523,1.3701,-15.7669,1.1686,78.3449,100.0,9.5636,14.9709,193,183,36.612,-0.593,Never-seen 2022-04→2024-09,13.6072,-8.7949,24.8548
"E10 rank entry, exit 3xATR trailing stop",2024-09-17,2026-09-24,507,63.5092,27.6848,1.0014,1.424,-35.9657,0.7698,87.3779,100.0,12.9491,18.7041,167,157,36.3057,-0.1866,Seen 2024-09→now,19.6796,-11.5103,21.4027
"E10 rank entry, exit 3xATR trailing stop",2025-09-24,2026-09-24,252,10.8201,10.8201,0.5253,0.7295,-19.0674,0.5675,91.255,100.0,5.9426,19.7861,88,78,29.4872,-1.8497,Last 12m,16.4563,-9.5049,21.0575
E11 fixed threshold X=10 (info),2022-04-01,2026-09-24,1124,192.0255,27.159,1.0268,1.5054,-32.3507,0.8395,86.6148,100.0,12.6762,18.6409,389,379,32.7177,-2.0667,WF stitched,12.051,-8.9318,18.6411
E11 fixed threshold X=10 (info),2022-04-01,2024-09-16,617,60.1618,21.2126,0.9723,1.42,-20.0667,1.0571,81.839,100.0,10.5432,16.7096,206,196,35.2041,-2.1656,Never-seen 2022-04→2024-09,9.4037,-8.4513,20.0219
E11 fixed threshold X=10 (info),2024-09-17,2026-09-24,507,82.5032,34.8535,1.1033,1.6223,-32.3507,1.0774,92.4268,100.0,14.9945,21.481,193,183,28.9617,-2.4293,Seen 2024-09→now,14.9337,-9.508,17.2603
E11 fixed threshold X=10 (info),2025-09-24,2026-09-24,252,4.9524,4.9524,0.3122,0.4376,-18.7581,0.264,96.1071,100.0,3.661,24.0855,102,92,23.913,-4.8512,Last 12m,8.4324,-9.0261,16.2247
E11 fixed threshold X=20 (info),2022-04-01,2026-09-24,1124,218.9977,29.7026,1.0871,1.5971,-28.55,1.0404,85.6322,100.0,13.7979,25.0101,565,555,31.5315,-1.1043,WF stitched,11.1026,-6.7259,12.4274
E11 fixed threshold X=20 (info),2022-04-01,2024-09-16,617,62.3129,21.8748,0.9889,1.4561,-19.594,1.1164,80.8119,100.0,10.9692,23.1283,309,299,31.4381,-1.4859,Never-seen 2022-04→2024-09,8.9225,-6.2585,11.737
